Word,Definition,Date,Consecutive Right
abandon,leave someone who needs or counts on you,,0
Abate,become less in amount or intensity,,0
abdicate,"give up power, duties or obligations",,0
abduct (v.),to kidnap ,,0
abase (v.),"to lower, demean, degrade",,0
abscond (v.),to sneak away and hide,,0
abate (v.),"to lessen, to reduce in severity",,0
abbreviate (v.),"to shorten, reduce",,0
abundant (adj.),in great numbers,,0
accede (v.),to agree,,0
accentuate (v.),"to emphasize, to highlight",,0
aberration (n.),a deviation from the expected course,,0
abhor (v.),"to hate, loathe",,0
abide (v.),"to put up with, tolerate",,0
abject (adj.),of the most miserable kind,,0
abort (v.),to give up unfinished,,0
abridge (v.),"to shorten, cut down",,0
accommodating (adj.),"obliging, helpful",,0
accost (v.),to approach or confront aggressively,,0
acumen (n.),keen insight,,0
acute (adj.),"sharp, severe",,0
affable (adj.),"friendly, amiable",,0
affluent (adj.),"rich, wealthy",,0
aggrandize (v.),to increase or make greater,,0
abrogate (v.),"to abolish, often by authority",,0
aggregate (v.)," gather, amass",,0
aghast (adj.),ruck by amazement,,0
agoraphobia (n.), abnormal fear of open or public places,,0
akimbo (adj.),th hands on hips,,0
alacrity (n.),eed readyness,,0
algid (adj.),"idgid, cold",,0
allay (v.)," sooth, assuage",,0
alleviate (v.), relieve,,0
aloof (adj.),"served, distant",,0
altercation (n.)," argument, dispute",,0
amalgamation (n.),"union, a merger",,0
ambivalent (adj.),ving contradictory feelings,,0
amble (v.)," stroll, walk",,0
ameliorate (v.),"to improve, to make better",,0
amend (v.),"to change for the better,",,0
amiable (adj.),"friendly, affable",,0
amorous (adj.),relating to or showing love,,0
amorphous (adj.),without shape or borders,,0
anomaly (n.),something that does not fit into the normal order,,0
antechamber (n.),a waiting room,,0
anxiety (n.),uneasiness,,0
aphorism (n.),a short saying,,0
apocalypse (n.),"total devastation, the end of the world",,0
apparitional (adj.),"ghostly, spectral",,0
arbitrator (n.),one who settles controversy between two sides,,0
ascetic (n.),one who practices restraint as a means of self-discipline,,0
assuage (v.),"to ease, pacify",,0
atone (v.),"to apologize, make amends",,0
audacious (adj.),excessively bold,,0
augment (v.),to increase or make larger,,0
austere (adj.),"very bare, bleak, simple",,0
baleful (adj.),"harmful, threatening",,0
bard (n.),"a poet, often a singer as well",,0
battery (n.),an assault or an array of similar things intended for use together,,0
belligerent (adj.),"contentious, ready to fight",,0
benevolent (adj.),"kind, good, caring",,0
benign (adj.),"non-threatening, innocuous",,0
berate (v.),to scold severely,,0
bereft (adj.),"without, devoid of",,0
bide (v.),"to wait, or remain in a condition",,0
bilk (v.),"to cheat, to swindle",,0
blandish (v.),to coax through flattery,,0
bloated (adj.),"swollen, bigger than desired",,0
boisterous (adj.),"loud, energetic",,0
bourgeois (adj.),middle class,,0
brash (adj.),hasty or lacking in sensitivity,,0
brazen (adj.),"excessively bold, brash",,0
brumal (adj.),"wintry, relating to winter",,0
brusque (adj.),"short, abrupt, dismissive",,0
buffet (n.),a spread of food involving choices,,0
